Element,S1,S2,S3,S4
H,0.0254682,0.443804,0.228686,0.496789
He,0.423087,0.0155478,0.475467,0.210215
Li,0.041027,0.436208,0.209747,0.482919
Be,0.0573112,0.40906,0.217353,0.458951
B,0.321976,0.133805,0.387069,0.251798
C,0.342993,0.112114,0.405093,0.239808
N,0.366021,0.0909669,0.424494,0.226929
O,0.392258,0.067676,0.446163,0.217218
F,0.415585,0.0516891,0.464336,0.206573
Ne,0.440553,0.0417595,0.485696,0.200623
Na,0.0630959,0.443119,0.187767,0.478677
Mg,0.0731023,0.416915,0.194645,0.457314
Al,0.326647,0.141616,0.375812,0.237264
Si,0.351214,0.116787,0.395748,0.221292
P,0.373345,0.0978067,0.418217,0.210878
S,0.398408,0.0805575,0.437219,0.196216
Cl,0.42073,0.0665191,0.457963,0.188771
Ar,0.446736,0.0649292,0.478226,0.176511
K,0.0864816,0.450732,0.163035,0.474072
Ca,0.0956078,0.423795,0.168619,0.449753
Sc,0.110512,0.394999,0.182047,0.424779
Ti,0.125889,0.370476,0.194884,0.404029
V,0.147426,0.343348,0.209686,0.380512
Cr,0.170422,0.317376,0.22832,0.357698
Mn,0.192183,0.291439,0.245342,0.336812
Fe,0.215219,0.265655,0.264844,0.314912
Co,0.24193,0.243685,0.281834,0.295308
Ni,0.262214,0.219092,0.302377,0.275909
Cu,0.284878,0.196105,0.326053,0.254448
Zn,0.310344,0.171537,0.346818,0.235035
Ga,0.333908,0.152408,0.367361,0.216695
Ge,0.359796,0.131888,0.387952,0.199026
As,0.379032,0.112965,0.406387,0.188749
Se,0.405766,0.0979375,0.430848,0.175045
Br,0.431539,0.0875382,0.451452,0.162137
Kr,0.456912,0.0848536,0.474089,0.151841
Rb,0.108574,0.457715,0.135632,0.470176
Sr,0.112831,0.429635,0.148815,0.443762
Y,0.123876,0.404794,0.159729,0.421298
Zr,0.138704,0.380003,0.174019,0.397847
Nb,0.157443,0.353374,0.190544,0.375723
Mo,0.178099,0.327471,0.210075,0.351954
Tc,0.200345,0.301256,0.231524,0.327739
Ru,0.222808,0.277557,0.250156,0.304365
Rh,0.245358,0.253055,0.272067,0.285318
Pd,0.270305,0.227371,0.295394,0.261569
Ag,0.293247,0.205503,0.316439,0.243792
Cd,0.318242,0.183372,0.338306,0.221635
In,0.340692,0.163806,0.361519,0.203979
Sn,0.366009,0.144981,0.383804,0.185345
Sb,0.390867,0.128173,0.40483,0.16815
Te,0.416814,0.115701,0.426076,0.154275
I,0.440939,0.10839,0.450386,0.141541
Xe,0.464174,0.108119,0.473394,0.132956
Cs,0.135343,0.468625,0.116363,0.466424
Ba,0.137519,0.440991,0.124621,0.441893
*,0.147733,0.414483,0.139032,0.416516
Hf,0.158783,0.387595,0.15624,0.392986
Ta,0.177652,0.361689,0.176302,0.368373
W,0.195588,0.338132,0.194349,0.344225
Re,0.215204,0.312275,0.216634,0.320195
Os,0.235171,0.287514,0.23963,0.297789
Ir,0.258864,0.261243,0.263506,0.273302
Pt,0.281474,0.240113,0.28577,0.251529
Au,0.307568,0.21822,0.30888,0.227733
Hg,0.329481,0.195625,0.332154,0.207091
TI,0.353347,0.1779,0.355851,0.186934
Pb,0.380075,0.16272,0.379892,0.164458
Bi,0.404792,0.148858,0.403201,0.149362
Po,0.429272,0.141444,0.425388,0.129623
At,0.452599,0.135983,0.447249,0.116652
Rn,0.475336,0.134498,0.466668,0.10914
Fr,0.16422,0.479856,0.0925506,0.0925506
Ra,0.1669,0.455318,0.0997383,0.440363
**,0.172517,0.426895,0.118323,0.413358
Rf,0.185009,0.400586,0.137784,0.387416
Db,0.196327,0.37543,0.160553,0.363207
Sg,0.213644,0.348889,0.181593,0.338166
Bh,0.233015,0.32625,0.20664,0.312868
Hs,0.252494,0.298951,0.228248,0.29064
Mt,0.272801,0.276836,0.253385,0.264086
Ds,0.294637,0.253512,0.27904,0.241552
Rg,0.241552,0.232705,0.301354,0.218431
Cn,0.343649,0.215662,0.32601,0.19545
Uut,0.368203,0.19823,0.351278,0.171576
Fl,0.393531,0.18425,0.37605,0.151982
Uup,0.417127,0.172421,0.399192,0.13061
Lv,0.438229,0.161102,0.422898,0.113132
Uus,0.464445,0.159629,0.44899,0.0963711
Uuo,0.488411,0.160697,0.473009,0.0870089
La,0.214966,0.418587,0.119528,0.384078
Ce,0.228125,0.394546,0.142909,0.35904
Pr,0.241011,0.369455,0.16881,0.331857
Nd,0.25702,0.344866,0.193496,0.307632
Pm,0.277636,0.323371,0.218579,0.283252
Sm,0.297094,0.29957,0.243908,0.256929
Eu,0.319577,0.276585,0.271418,0.231303
Gd,0.339878,0.259044,0.296575,0.206956
Tb,0.365162,0.242581,0.322535,0.180157
Dy,0.387788,0.228846,0.34691,0.156899
Ho,0.412115,0.216913,0.371255,0.133474
Er,0.437607,0.205221,0.398353,0.108267
Tm,0.461817,0.197582,0.424333,0.0870314
Yb,0.483018,0.197861,0.447258,0.0682216
Lu,0.507673,0.195581,0.473054,0.0525343
Ac,0.24357,0.435335,0.109018,0.383504
Th,0.254222,0.410487,0.134493,0.358394
Pa,0.266145,0.387009,0.161341,0.332263
U,0.28135,0.367647,0.185648,0.307841
Np,0.300655,0.340263,0.214153,0.279317
Pu,0.321032,0.319407,0.242691,0.250372
Am,0.341489,0.301392,0.270603,0.223223
Cm,0.362151,0.279372,0.296032,0.197699
Bk,0.383989,0.26751,0.31871,0.174022
Cf,0.406581,0.25117,0.345035,0.14941
Es,0.428054,0.237314,0.374353,0.121337
Fm,0.449125,0.232495,0.397381,0.0991403
Md,0.473161,0.22532,0.42119,0.074416
No,0.498921,0.224847,0.448613,0.0495752
Lr,0.525399,0.224669,0.472862,0.030538
